cluster_id,keep_this_cluster(1/0),canonical_suggested,members,n_members,match_reasons,avg_cosine_info_only,sample_descriptions
3011,1,Large Language Models,Large Language Model (LLM); Large Language Models; Large Language Model(S); Large (Vision-)Language Model; Large Language Model (LLM) Agents; Large Language Model Agents; Large Language Models (LLM),7,"high_lexical_overlap,normalized_equal",0.7117,"Large Language Model (LLM)
**Large Language Model (LLM)**

The Large Language Mo | Large Language Models
**Large Language Models**

Large Language Models (LLMs) ar | Large Language Model(S)
Large Language Models are a type of artificial intellige"
4345,1,Machine Learning,Machine Learning Models; Machine Learning Model; Machine Learning,3,"high_lexical_overlap,normalized_equal",0.6413,"Machine Learning Models
Machine Learning Models refers to the algorithms used fo | Machine Learning Model
A Machine Learning Model is induced using the labeled dat | Machine Learning
Machine learning is a field that can be used in conjunction wit"
757,1,Nlu++ Benchmark,Nlu++ Benchmark; Nlu++ Benchmark (Banking Domain); Nlu++ Benchmark (Hotel Domain),3,normalized_equal,0.9935,"Nlu++ Benchmark
The NLU++ benchmark consists of 2,693 multi-intent queries acros | Nlu++ Benchmark (Banking Domain)
The NLU++ benchmark includes 2,693 multi-intent | Nlu++ Benchmark (Hotel Domain)
The NLU++ benchmark also includes 2,693 multi-int"
868,1,Carefully Cured And Well-Structured Data,Carefully Cured And Well-Structured Data; Carefully Cured And Well-Structured Data Influence; Carefully Cured And Well-Structured Data Influence On Model Scale,3,high_lexical_overlap,0.997,"Carefully Cured And Well-Structured Data
Carefully Cured And Well-Structured Dat | Carefully Cured And Well-Structured Data Influence
Carefully Cured And Well-Stru | Carefully Cured And Well-Structured Data Influence On Model Scale
Carefully Cure"
879,1,Regression-Based Rewards Failure,Regression-Based Rewards Failure; Regression-Based Rewards Failure Entirely; Regression-Based Rewards Failure Entirely Influence,3,high_lexical_overlap,0.9983,"Regression-Based Rewards Failure
Regression-Based Rewards Failure is mentioned i | Regression-Based Rewards Failure Entirely
Regression-Based Rewards Failure Entir | Regression-Based Rewards Failure Entirely Influence
Regression-Based Rewards Fai"
912,1,Intrinsic Geometric Smoothing,Intrinsic Geometric Smoothing; Tail-Risk Intrinsic Geometric Smoothing (TIGS); Intrinsic Geometric Smoothing (TIGS),3,"high_lexical_overlap,normalized_equal",0.5845,"Intrinsic Geometric Smoothing
Intrinsic geometric smoothing is a technique used  | Tail-Risk Intrinsic Geometric Smoothing (TIGS)
Tail-Risk Intrinsic Geometric Smo | Intrinsic Geometric Smoothing (TIGS)
Intrinsic Geometric Smoothing (TIGS) is men"
4046,1,Offline Reinforcement Learning,Multi-Agent Reinforcement Learning; Offline Multi-Agent Reinforcement Learning (MARL); Offline Reinforcement Learning,3,high_lexical_overlap,0.7389,"Multi-Agent Reinforcement Learning
Multi-agent reinforcement learning is a promi | Offline Multi-Agent Reinforcement Learning (MARL)
Offline MARL is a challenge in | Offline Reinforcement Learning
Offline RL is a method for training effective pol"
4754,1,Large Language Model (LLM)-Based Baselines,Large Language Model (LLM)-Based Approaches; Large Language Model (LLM)-Based Baselines; Large Language Model (LLM)-based Approaches,3,"high_lexical_overlap,normalized_equal",0.7165,"Large Language Model (LLM)-Based Approaches
Large Language Model (LLM)-Based App | Large Language Model (LLM)-Based Baselines
LLM-based baselines are existing meth | Large Language Model (LLM)-based Approaches
Large Language Model (LLM)-based App"
1352,1,Blind Omnidirectional Image Quality Assessment (BOIQA),Blind Omnidirectional Image Quality Assessment (BOIQA); Viewport-Unaware Blind Omnidirectional Image Quality Assessment; Viewport-Unaware Blind Omnidirectional Image Assessment,3,high_lexical_overlap,0.602,"Blind Omnidirectional Image Quality Assessment (BOIQA)
Blind Omnidirectional Ima | Viewport-Unaware Blind Omnidirectional Image Quality Assessment
Viewport-Unaware | Viewport-Unaware Blind Omnidirectional Image Assessment
Viewport-Unaware Blind O"
3647,1,3D Convolutional Neural Networks,Convolutional Neural Network (CNN); Convolutional Neural Networks (CNNS); 3D Convolutional Neural Networks,3,"high_lexical_overlap,normalized_equal",0.6958,"Convolutional Neural Network (CNN)
A Convolutional Neural Network is a type of d | Convolutional Neural Networks (CNNS)
CNNs are effective at capturing both local  | 3D Convolutional Neural Networks
3D convolutional neural networks are deep learn"
